Date of Cartoon,Title,Major Subject
"Friday, October 18, 1974","""Well We Wanted To Get Them Behind Us""",Ford Administration
"Sunday, October 20, 1974","""I'm Sure Glad To Know All This Was For The Good Of The Country""",Watergate
"Tuesday, October 22, 1974","""You see, he was so busy making generous gifts to public figures ...""",Vice Presidency
"Wednesday, October 23, 1974",Still Grasping In His Hand Of Ice That Banner With The Strange Device,United States Postal Service
"Thursday, October 24, 1974","""You Folks Have To Tighten Your Belts And Bite The Democrats""","Congressional Elections, 1974"
"Friday, October 25, 1974","""Some Of Those Greek Ruins Are Moving""",Greece
"Sunday, October 27, 1974","""Just The Shirt, Pants And Wallet -- You Can Keep The Button""","Congressional Elections, 1974"
"Tuesday, October 29, 1974","""Keep An Eye On Those Ayrabs, Boy""",US Economy
"Wednesday, October 30, 1974","""Remember -- Don't vote for anyone who would interfere with the way we've been handling things""",Ford Administration
"Thursday, October 31, 1974","""They Certainly Have A Firm Policy On That, Anyhow""",Ford Administration
"Friday, November 1, 1974","""We're Moving Right Along""",Ford Administration
"Sunday, November 3, 1974","""Sales Are Down -- The Obvious Solution Is To Raise Prices Again""",Automotive Industry
"Tuesday, November 5, 1974","""And Now For The Main Course""","Congressional Elections, 1974"
"Wednesday, November 6, 1974","""And Now, How Many Lumps?""",US Economy
"Thursday, November 7, 1974","""Welcome To The Great Outdoors""","Congressional Elections, 1974"
"Friday, November 8, 1974","""So Much For The Preliminaries. Your First Real Match Will Be --""",Congress
"Sunday, November 10, 1974","""We Made It Over That Bridge All Right""",Ford Administration
"Tuesday, November 12, 1974","""Your Phantom Jets And Missiles Are Ready, Sir. Will There Be Anything Else?""",Ford Administration
"Wednesday, November 13, 1974","""It's Beginning To Look As If Something Is Amiss""",Ford Administration
"Thursday, November 14, 1974","""I don't believe in such books, but I okayed it, but it involved raising all that money, but then I forgot all about it, but then ...""",Vice Presidency
"Friday, November 15, 1974","""How Did He Get There And How Many Others Like Him Do We Have?""",Ford Administration
"Sunday, November 17, 1974",Hunger,Ford Administration
"Tuesday, November 19, 1974","""You Were Protecting Me?""",Nixon Administration
"Wednesday, November 20, 1974",[Untitled],Ford Administration
"Thursday, November 21, 1974","""You Don't Make ME Feel Secure""",FBI
"Friday, November 22, 1974",[Untitled],"Congressional Elections, 1974"
"Sunday, November 24, 1974","""Don't Be Petty -- A Man With All That Money Can't Be Bothered With Details""",Vice Presidency
"Tuesday, November 26, 1974",Gunsight,United Nations
"Wednesday, November 27, 1974","""What Did People Find So Funny About That Outfit You Wore In Japan?""",Ford Administration
"Thursday, November 28, 1974","""I Think You Can Stop Worrying About Drift And Uncertainty""",Ford Administration
"Friday, November 29, 1974","""It's A Great Step Forward For Everybody Including Us""",Ford Administration
"Sunday, December 1, 1974","""I Think Next Is A Blackface Number -- Followed By The Usual Official Rebuke""",Ford Administration
"Tuesday, December 3, 1974","""Wait! Let Go -- Not That Kind Of Strip Routine""",Congress
"Wednesday, December 4, 1974","""You Say You Feel Insecure -- Lots Of People Feel Insecure""",US Economy
"Thursday, December 5, 1974","""Why Would Anyone Think There's Any Connection?""",Vice Presidency
"Friday, December 6, 1974","""Just What We Needed""",Ford Administration
"Sunday, December 8, 1974","""Yours Looks Nice Too""",Cold War
"Tuesday, December 10, 1974","""Strange -- We Don't Seem To Be Moving Along Very Fast""",Automotive Industry
"Wednesday, December 11, 1974","""What Have You Got In The Way Of A Job?""",Ford Administration
"Thursday, December 12, 1974","""There's No Respect For The Law Any More""",US Economy
"Friday, December 13, 1974",[Untitled],Ford Administration
"Sunday, December 15, 1974","""There's Something Familiar About This Place""",Vice Presidency
"Tuesday, December 17, 1974","""It Says Here The Government Is Going To Let Us Buy Gold""",US Economy
"Wednesday, December 18, 1974",[Untitled],US Economy
"Thursday, December 19, 1974",Christmas Sock,US Economy
"Friday, December 20, 1974",[Untitled],US Economy
"Sunday, December 22, 1974",[Untitled],Ford Administration
"Tuesday, December 24, 1974",The Spy Who Brought In The Cold Chill,CIA
"Thursday, December 26, 1974",[Untitled],Ford Administration
"Friday, December 27, 1974","""And Now For A Look At The Crystal Ball -- As Soon As I Can Find It --""",New Year
"Sunday, December 29, 1974",[Untitled],CIA
"Tuesday, December 31, 1974","""You Mean Actually Get Into The Scuffle, Eh?""",Ford Administration
"Wednesday, January 1, 1975","""Okay, So I'm Not So Good At Geography""",CIA
"Thursday, January 2, 1975",[Untitled],Ford Administration
"Friday, January 3, 1975",The Uncovering Goes On,Watergate
"Sunday, January 5, 1975","""Now For Another Look At The Map""",Ford Administration
"Tuesday, January 7, 1975","""We Understand You've Got A Complaint About Some Of Our Boys""",Ford Administration
"Wednesday, January 8, 1975","""Now For The Bad News --""",Ford Administration
"Thursday, January 9, 1975","The ""Gold Rush"" Of '75",US Economy
"Friday, January 10, 1975","""I Can't Wait To See This Year's New Line Of Excuses""",Automotive Industry
"Sunday, January 12, 1975","""It's A Pleasure To Recognize A Fellow Idealist""",Middle East
"Tuesday, January 14, 1975","""Wait For Your Leader, Dammit!""",Ford Administration
"Wednesday, January 15, 1975",[Untitled],US Economy
"Thursday, January 16, 1975","""Hold It! First, The Tax Rebate -- Then The Oil Boost -- And The Gas Bill -- Then The Amount Dad Won't Get In Social Security -- Then --""",US Economy
"Friday, January 17, 1975",American Revolution Bicentennial,Congress
"Sunday, January 19, 1975",Towering Inferno,US Economy
"Tuesday, January 21, 1975","""There's Nothing Here -- There's Nothing Here -- Uh -- There's Nothing Here To Speak Of""",Domestic Spying
"Wednesday, January 22, 1975","""I See He's Still Whipping It""",Ford Administration
"Thursday, January 23, 1975",[Untitled],Vietnam War
"Friday, January 24, 1975","""We Have A New Magic Button""",Ford Administration
"Sunday, January 26, 1975",Human Sacrifice,Ford Administration
"Tuesday, January 28, 1975","""It Helps Maintain A Better Balance""",Ford Administration
"Wednesday, January 29, 1975","""Think Of It As Your Contribution To General Thieu""",Ford Administration
"Thursday, January 30, 1975","""You Know Where We Went Wrong? We Didn't Try To Steal The U.S. Government""",Watergate
"Friday, January 31, 1975",Undercover Work,FBI
"Sunday, February 2, 1975","""But A While Ago You Were Complaining That I Wasn't Doing Anything""",Ford Administration
"Tuesday, February 4, 1975","""You're Not Thinking Of Walking Out On Us, Are You?""",Watergate
"Wednesday, February 5, 1975",The Lines,Ford Administration
"Thursday, February 6, 1975","""The End Of The Tunnel Is At Hand""",Ford Administration
"Friday, February 7, 1975",Fuel,Ford Administration
"Sunday, February 9, 1975",[Unemployed],Ford Administration
"Tuesday, February 11, 1975","""We Have Sort Of An Accord Already -- All The Countries Agree They Want More Arms""",Ford Administration
"Wednesday, February 12, 1975","""Don't I Remind You Of Harry Truman?""",Ford Administration
"Thursday, February 13, 1975","""Oh, Dandy -- Just What We've Been Needing""",Ford Administration
"Friday, February 14, 1975",[Untitled],Ford Administration
"Sunday, February 16, 1975","""Patience -- We Think That By The End Of 1976 ...""",Ford Administration
"Tuesday, February 18, 1975","""Well, Sales Are Off A Little Everywhere""",Ford Administration
"Wednesday, February 19, 1975","""Ouch!""",Ford Administration
"Thursday, February 20, 1975",Creation Of Life,Women's Issues
"Friday, February 21, 1975","""Down, Down, Down. Would The Fall Never Come To An End?"" -- Alice In Wonderland",US Economy
"Sunday, February 23, 1975","""My Dear Fellow, You Seem To Be Hurt. Let Me Help You""",Oil Industry
"Tuesday, February 25, 1975","""How About One More Toss -- Best 34 Out Of 67""",Ford Administration
"Wednesday, February 26, 1975","""If You Don't Bail It Out, You'll Be To Blame For Letting It Go Down""",Vietnam War
"Thursday, February 27, 1975",Orders,Ford Administration
"Friday, February 28, 1975",[Untitled],US Economy
"Sunday, March 2, 1975",[Untitled],Vietnam War
"Tuesday, March 4, 1975","""You Wished A Job Done, Sir?""",Domestic Spying
"Wednesday, March 5, 1975","""Baby, It's Cold Inside""",US Economy
"Thursday, March 6, 1975","""It's Nice To Know We're Helping To Hold It Down A Little""",US Economy
"Friday, March 7, 1975","""Write It Again, Boy""",Senate
"Sunday, March 9, 1975","""I've Now Decided On -- Uh -- An Unscheduled Stop""",Ford Administration
"Tuesday, March 11, 1975",[Untitled],Congress
"Wednesday, March 12, 1975",Cover,Domestic Spying
"Thursday, March 13, 1975",Bunny,Senate
"Friday, March 14, 1975","""I Plead Guilty On Five Counts -- But Only To Protect My Good Name""",Watergate
"Sunday, March 16, 1975","""So The Last One Collapsed -- Get In There And Try It Again""",Republican Party
"Tuesday, March 18, 1975","""Could You Take Off The Diamond Cufflinks And Maybe Scrunch Down A Little?""",Special Interests
"Wednesday, March 19, 1975","""Maybe That's One Reason It's Been So Slow""",Domestic Spying
"Thursday, March 20, 1975","""Explain Slowly -- What Does He Need All Those Weapons For, And Why Does He Need Nuclear Reactors?""",Ford Administration
"Friday, March 21, 1975","""If our men had showed an identification card, how do we know she wouldn't have swiped it?""",FBI
"Sunday, March 23, 1975",Traveling Salesman,Ford Administration
"Tuesday, March 25, 1975","""It's A Variation Of An Old Game -- Now Hold Still""",Ford Administration
"Wednesday, March 26, 1975","""Whose Side Are You On?""",Ford Administration
"Thursday, March 27, 1975",[Untitled],Vietnam War
"Friday, March 28, 1975","""Yes, Mr. And Mrs. America -- This Is Your Life""",Ford Administration
"Sunday, March 30, 1975","""They Now Have An Interim Plan: Hold Your Breath For Five Years""",Ford Administration
"Tuesday, April 1, 1975",Avalanche,Vietnam War
"Wednesday, April 2, 1975",[Untitled],Vietnam War
"Thursday, April 3, 1975",Backfire,Vietnam War
"Friday, April 4, 1975","""I Am Not Going To Point A Finger ...""",Vietnam War
"Sunday, April 6, 1975","""Uh -- I Guess You're Pretty Tired Of Bad News From Abroad -- Right?""",Ford Administration
"Tuesday, April 8, 1975",[Untitled],Gun Controls
"Wednesday, April 9, 1975","""Right, Chief -- Patty Hearst Can't Make Fools Of Us""",FBI
"Thursday, April 10, 1975","""Be Sure You Come Clean With Us -- We're Very Fussy""",Ford Administration
"Friday, April 11, 1975","""Didn't You Used To Be In The State Department?""",Ford Administration
"Sunday, April 13, 1975",Lines In A Last Act,Vietnam War
"Tuesday, April 15, 1975","""Lately I've Been Getting This Sort-Of Double Image""",Vietnam War
"Wednesday, April 16, 1975","""They Count Me As Working""",Ford Administration
"Thursday, April 17, 1975","""I'd Like To Try A No-Frills Flight""",Ford Administration
"Friday, April 18, 1975","""We Can Probably Lock It Up Again Later""",Vietnam War
"Sunday, April 20, 1975",[Untitled],Pollution
"Tuesday, April 22, 1975","""Damn Americans! What have you done for me since the last eight or ten years?""",Vietnam War
"Wednesday, April 23, 1975",On The Endangered List,Ford Administration
"Thursday, April 24, 1975","""Is This One Of Our National-Unity Days Or One Of Our Blame-Congress Days -- Or Both?""",Vietnam War
"Friday, April 25, 1975","""What Recession?""",Gun Controls
"Sunday, April 27, 1975","""You Wouldn't Want To Skimp On National Defense, Would You?""",US Economy
"Tuesday, April 29, 1975",Light Ahead,US Economy
"Wednesday, April 30, 1975","""It Is Finished""",Vietnam War
"Thursday, May 1, 1975",[Untitled],Vietnam War
"Friday, May 2, 1975","""They were too personal and confidential to disclose, and besides there was nothing confidential about them""",Vietnam War
"Sunday, May 4, 1975",[Untitled],Gun Controls
"Tuesday, May 6, 1975","""This Is Where We Register For The Postgraduate Economics Course""",US Economy
"Wednesday, May 7, 1975","""Some Of Them Must Wish We Had Stayed Away From THEIR Towns""",Vietnam War
"Thursday, May 8, 1975","""Snug, Ain't It?""",Ford Administration
"Friday, May 9, 1975",Something In The Air,Ford Administration
"Sunday, May 11, 1975","""We've Brought Up A Periscope""",Ford Administration
"Tuesday, May 13, 1975","""To start with, I don't think I'd have had America discovered by a foreigner""","Wallace, George"
"Wednesday, May 14, 1975","""Sit!""",Republican Party
"Thursday, May 15, 1975",Fifth Year,Vietnam War
"Friday, May 16, 1975",Big City Skyline,US Economy
"Sunday, May 18, 1975","""You sure you're not overdoing it a little?""",Vietnam War
"Tuesday, May 20, 1975","""You don't realize how warm I get doing all this cooking""",World Economy
"Wednesday, May 21, 1975",The Check,Vietnam War
"Thursday, May 22, 1975","""Now that you're not selling so many, maybe you could try making them better""",Automotive Industry
"Friday, May 23, 1975","""Why don't you get out there and take him on?""",Ford Administration
"Sunday, May 25, 1975","""Fair enough -- let's give them a cut out of what we take tonight""",Gun Controls
"Tuesday, May 27, 1975","""We have to lighten the load because of the energy crisis""",Ford Administration
"Wednesday, May 28, 1975","""Okay, Evel Knsumer, Now Let's See You Try A Couple More""",Ford Administration
"Thursday, May 29, 1975","""Everything's fine -- you're all still getting worse, just as I expected""",Ford Administration
"Friday, May 30, 1975","""That's not the way it's supposed to work""",United States Postal Service
"Sunday, June 1, 1975",Rip-off,Special Interests
"Tuesday, June 3, 1975","""If I stood up and fought, it would probably just prolong things""",Watergate
"Wednesday, June 4, 1975","""He has a jobs program, if you happen to be in the right line of work""",Ford Administration
"Thursday, June 5, 1975","""I certainly don't think there's anything funny about Ford having weak knees""",Congress
"Friday, June 6, 1975","""Look, fella -- Nobody's perfect""",Ford Administration
"Sunday, June 8, 1975",[Untitled],Ford Administration
"Tuesday, June 10, 1975",Bicentennial Documents,Domestic Spying
"Wednesday, June 11, 1975",Passing Game,Ford Administration
"Thursday, June 12, 1975","""For you, we're just digging down six feet -- and we resurface the top""",Ford Administration
"Friday, June 13, 1975","""And in this corner, fighting his way out of his robe --""",Congress
"Sunday, June 15, 1975","""Yup, it's a-comin' all right""",Ford Administration
"Tuesday, June 17, 1975",Alley Entrance,Domestic Spying
"Wednesday, June 18, 1975","""This one's not dead. He just doesn't want to see what's going on""",Domestic Spying
"Thursday, June 19, 1975",Jaws,Domestic Spying
"Friday, June 20, 1975","""It's nice that he's against crime. What does he say about officials who hand out full, free and absolute pardons?""",Ford Administration
"Sunday, June 22, 1975",The Race,Ford Administration
"Tuesday, June 24, 1975",The Final Throwaway,Pollution
"Wednesday, June 25, 1975","""It's just that they don't consider us a practical purpose""",US Economy
"Thursday, June 26, 1975","""He's in the driver's seat, but --""",Ford Administration
"Friday, June 27, 1975","""Who's the fairest one of all?""",India
"Sunday, June 29, 1975","""Hear that thump? We've hit bottom""",Ford Administration
"Tuesday, July 1, 1975","""Forget about World War II fugitives -- Guess what's alive and living in Brazil""",Nuclear Weapons
"Wednesday, July 2, 1975","""This month we throw in a special 4th-Of-July display""",Ford Administration
"Thursday, July 3, 1975",[Untitled],Ford Administration
"Friday, July 4, 1975","""Everything put away neatly before we close up and get out""",Watergate
"Sunday, July 6, 1975","""You'll be glad to hear that the latest figures show you're holding steady""",US Economy
"Tuesday, July 8, 1975","""It's all right to come out now. If you had met him, Brezhnev might have disapproved""",Ford Administration
"Wednesday, July 9, 1975","""Pst! Splash around a little -- I don't know if he saw you""",Republican Party
"Thursday, July 10, 1975",[Untitled],Domestic Spying
"Friday, July 11, 1975","""He seems like such a nice guy, I wish he was on our side""",Ford Administration
"Sunday, July 13, 1975","""Something went wrong here""",Domestic Spying
"Tuesday, July 15, 1975",Gas Attack,Ford Administration
"Wednesday, July 16, 1975","""I don't quite see how we link up""",Ford Administration
"Thursday, July 17, 1975","""Let me get this straight -- you fellows are supposed to be the Good Guys --""",Domestic Spying
"Friday, July 18, 1975","""Just out of curiosity, how did you manage to get into it in the first place?""",Ford Administration
"Sunday, July 20, 1975","""We HAD to raise prices again. Do you realize how much some of those foreign politicians cost?""",Oil Industry
"Tuesday, July 22, 1975","""They can't say I'm not doing anything""",Ford Administration
"Wednesday, July 23, 1975","""They don't look irresponsible to me""",Ford Administration
"Thursday, July 24, 1975","""Doesn't anybody want to buy it?""",Ford Administration
"Friday, July 25, 1975",Hallucinatory Drug Formula,Domestic Spying
"Sunday, July 27, 1975",Editing Job,India
"Tuesday, July 29, 1975","""Piece of cake""",Ford Administration
"Wednesday, July 30, 1975","""What makes you think there's any connection?""",Ford Administration
"Thursday, July 31, 1975","""Wonder what we'll find out next year that they're 'not doing any more'""",Domestic Spying
"Friday, August 1, 1975","""Goodness! How could anyone think such a thing?""",Ford Administration
"Sunday, August 3, 1975","""Let's not get involved""",Ford Administration
"Tuesday, August 5, 1975","""With me keeping an eye on things, you don't need to see what's going on""",CIA
"Wednesday, August 6, 1975","""Money doesn't grow on trees, you know. Doing something for you would cost cost several dollars""",Ford Administration
"Thursday, August 7, 1975","""Stick with me -- I've got a system""",Ford Administration
"Friday, August 8, 1975","""It's all perfectly legal. I'll show you the law as soon as the ink is dry""",India
"Sunday, August 10, 1975",Parade of Disclosures,Domestic Spying
"Tuesday, August 12, 1975",[Untitled],Ford Administration
"Wednesday, August 13, 1975","""Hello, circulation department? I think you somehow delivered us a year-old newspaper""",Watergate
"Thursday, August 14, 1975","""The system of free enterprise ... has fired the imagination and determination of our people."" --Sec. William Simon",Ford Administration
"Friday, August 15, 1975","""I'm working again""",US Economy
"Sunday, August 17, 1975",The Duel,Ford Administration
"Tuesday, August 19, 1975","""We don't seem to be on his itinerary""",Ford Administration
"Wednesday, August 20, 1975","""We red-blooded patriots will protect your wallet from those Russian grain traders""",Ford Administration
"Thursday, August 21, 1975","""What Watergate? What misdeeds? What stonewalling?""",Watergate
"Friday, August 22, 1975","""You can stop worrying about that wolf at the door""",Ford Administration
"Sunday, August 24, 1975","""All right, then. I won't have you guys go on disregarding my rules""",Ford Administration
"Tuesday, August 26, 1975","""Whoa there! Down! Down!""",Ford Administration
"Wednesday, August 27, 1975","""Hi-y'all, fella""","Presidential Election, 1976"
"Thursday, August 28, 1975",[Untitled],Urban Issues
"Friday, August 29, 1975","""I think we've got something here for the Bicentennial""",United States Postal Service
"Sunday, August 31, 1975","""I don't know how many more of these exciting monthly installments I can stand""",US Economy
"Tuesday, September 2, 1975","""I'm sure glad we're not handling grain. That stuff spells trouble""",Ford Administration
"Wednesday, September 24, 1975",Americans Who Have Stopped Appearing In Public,Gun Controls
"Thursday, September 25, 1975","""Potential presidential assassins? Let's see -- We DID have some warnings around here somewhere --""",Domestic Spying
"Friday, September 26, 1975","""Maybe you'd like to stand this in front of some other city""",Urban Issues
"Sunday, September 28, 1975",Sideswiped,Ford Administration
"Tuesday, September 30, 1975","""Blame Congress""",Ford Administration
"Wednesday, October 1, 1975","""Nonsense -- We don't believe in a domino theory here at home""",Ford Administration
"Friday, October 3, 1975","""How many more of you will there be?""","Presidential Election, 1976"
"Sunday, October 5, 1975","""If you don't pay me more rent, I may not let you continue to share this choice location""",Ford Administration
"Tuesday, October 7, 1975",Death Valley Days,Ford Administration
"Wednesday, October 8, 1975","""He does NOT spend all his time campaigning -- He takes his veto stamp right along with him""",Ford Administration
"Thursday, October 9, 1975","""It says here there are some loopholes in the gun control laws""",Ford Administration
"Friday, October 10, 1975","""I'd never have guessed they were brothers""",Ford Administration
"Tuesday, October 14, 1975","""No, no. I Insist! Let ME send him the bill for the hunting lodge. YOU can send him the bill for the brunches and football tickets""",Ford Administration
"Wednesday, October 15, 1975","""When people say we're still wiretapping it make me so mad I feel like talking right back to them""",Domestic Spying
"Thursday, October 16, 1975","""What's the matter with people these days that they get excited about a few executions?""",Spain
"Friday, October 17, 1975","""The Babe he wasn't""",Watergate
"Sunday, October 19, 1975","""What are those kids playing with down there?""",Cold War
"Tuesday, October 21, 1975","""What politics?""","Presidential Election, 1976"
"Wednesday, October 22, 1975",Fat City,Ford Administration
"Thursday, October 23, 1975","""It's frightening the way some of these Congressmen want to pry into our affairs""",Domestic Spying
"Friday, October 24, 1975","""Giddap!""",Ford Administration
"Sunday, October 26, 1975","""I can explain everything""",Congress
"Tuesday, October 28, 1975","""You shouldn't manage better""",Ford Administration
"Wednesday, October 29, 1975","""I hate to think about future Halloweens""",Ford Administration
"Thursday, October 30, 1975","""You can stop worrying -- I'll see that the essentials are taken care of""",Ford Administration
"Friday, October 31, 1975","""Our little boy get in shape? What are you trying to do -- Regiment him?""",Ford Administration
"Sunday, November 2, 1975","""Tell you what -- Come back in a few years and let us know if it proved fatal to you""",Ford Administration
"Tuesday, November 4, 1975","""... As we make our approach to 1976, you may notice a little turbulence ...""",Ford Administration
"Wednesday, November 5, 1975","""It's like he SAID -- He made those changes because everything's fine, and they've all been doing great, and he wants a new team, except for some of the old team. What is it you don't UNDERSTAND?""",Ford Administration
"Thursday, November 6, 1975","""He says later on he'll come back and pick me up too""",Ford Administration
"Friday, November 7, 1975","""It's not only a far, far better thing, but -- Ahaha -- I've never felt better, and -- Hohoho -- I couldn't be happier""",Vice Presidency
"Sunday, November 9, 1975","""I find me safe and pure too""",Ford Administration
"Tuesday, November 11, 1975","""Does um kittypoo want more yumyums to tempt his little tumtum?""",Ford Administration
"Wednesday, November 12, 1975","""It beats working""","Presidential Election, 1976"
"Thursday, November 13, 1975",[Untitled],United Nations
"Friday, November 14, 1975",American Mountain,Supreme Court
"Sunday, November 16, 1975","""On to the revival meeting -- Now where did we leave that little old drum?""",Congress
"Tuesday, November 18, 1975",The Brezhnev Prize For Independent Thinking,Soviet Union
"Wednesday, November 19, 1975","""I've formulated a new law: Smaller apples will fall upward -- No -- Big apples aren't all rotten -- Wait a minute --""",Ford Administration
"Thursday, November 20, 1975","""We hadn't planned to include this in the tour, Senator""",Domestic Spying
"Friday, November 21, 1975","""Forward! We'll head him off in the gulch""","Presidential Election, 1976"
"Sunday, November 23, 1975","""As we said at Helsinki, we retain control over internal matters""",Soviet Union
"Tuesday, November 25, 1975","""Who's the freshest face of all? Hello -- Hello? You listening to me?""","Presidential Election, 1976"
"Wednesday, November 26, 1975","""Can we supply fuel? Leave everything to us and we'll have you swimming in it""",Ford Administration
"Thursday, November 27, 1975","""Same here -- I've got a really great team, and no idea who I'm going to start""","Presidential Election, 1976"
"Friday, November 28, 1975",The Blob,Domestic Spying
"Sunday, November 30, 1975",[Untitled],Gun Controls
"Tuesday, December 2, 1975",Meeting Place,Domestic Spying
"Thursday, December 4, 1975",New Library Section,Censorship
"Friday, December 5, 1975",The Trouble With Cutting Corners,US Constitution
"Sunday, December 7, 1975","""Look -- Clean, clean hands""",Pollution
"Tuesday, December 9, 1975","""I christen thee 'Pacific Doctrine'""",Ford Administration
"Wednesday, December 10, 1975","""Let's see -- Ford, Gerald -- Oh yes, here's your name on our roster of possible nominees""","Presidential Election, 1976"
"Thursday, December 11, 1975","""I hope they don't take it away before we find out what it is""",Ford Administration
"Friday, December 12, 1975","""Now then -- Here's our latest list of absolutely indispensable arms programs""",Ford Administration
"Sunday, December 14, 1975","""... Round about the caldron go. In the poisoned entrails throw ...""",Domestic Spying
"Tuesday, December 16, 1975","""Never mind, Chief -- Washington had his Valley Forge. But of course, he only fought one war at a time""","Presidential Election, 1976"
"Wednesday, December 17, 1975","""Your keeping it out would be a serious  blow to our relations -- With our allies, of course""",Ford Administration
"Thursday, December 18, 1975","""We're drawing some guidelines for it""",Domestic Spying
"Friday, December 19, 1975","""I had to do it -- Congress sent him over""",Ford Administration
"Sunday, December 21, 1975",Vicious Circle,Urban Issues
"Tuesday, December 23, 1975","""Another triumph -- Once again I've saved us from going over the edge""",Ford Administration
"Wednesday, December 24, 1975","""What do you mean, it can't carry a load?""",Ford Administration
"Friday, December 26, 1975","""O tidings of comfort and joy""",Ford Administration
"Sunday, December 28, 1975",[Untitled],"Presidential Election, 1976"
"Tuesday, December 30, 1975","""Oops -- Ha ha -- Just a little bit off the mark""",Ford Administration
"Wednesday, December 31, 1975","""Happy bicentennial year""",United States Postal Service
"Thursday, January 1, 1976","""Thank goodness I have an expert navigator like you, Henry, or I'd be in trouble""",Ford Administration
"Friday, January 2, 1976",Unsafe At Any Level,Air Travel
"Sunday, January 4, 1976","""Quick! Look behind you for foreign subversives!""",India
"Tuesday, January 6, 1976",This Month's Special,Ford Administration
"Wednesday, January 7, 1976","""Ha Ha -- Of course I'd tell him not to bother YOU""","Presidential Election, 1976"
"Thursday, January 8, 1976","""Rest assured that I will give your little writing effort fair consideration""",US Constitution
"Friday, January 9, 1976","""Next year I'm going to make a firm resolution ...""",Ford Administration
"Sunday, January 11, 1976",[Untitled],"Presidential Election, 1976"
"Tuesday, January 13, 1976","""If you don't mind my just putting my nose under your tent --""",Air Travel
"Wednesday, January 14, 1976","""A possible inflation high here, possible deflation low there, possible stationary condition also, and an 80% possibility of don't know""",Ford Administration
"Thursday, January 15, 1976","""Well, he's willing to let the government help SOME of the unemployed""","Presidential Election, 1976"
"Friday, January 16, 1976","""I've solved the crime problem -- if you'll get in there it'll be easier to protect you""",Ford Administration
"Sunday, January 18, 1976","""What you really need is 17 different substitutes""",Ford Administration
"Tuesday, January 20, 1976","""It was supposed to be more of a feature presentation""","Presidential Election, 1976"
"Wednesday, January 21, 1976",[Untitled],Ford Administration
"Thursday, January 22, 1976",[Untitled],Ford Administration
"Friday, January 23, 1976","""When he talks, you can tell he's using his head""","Presidential Election, 1976"
"Sunday, January 25, 1976",In the Bag of Dirty Tricks,CIA
"Tuesday, January 27, 1976","""Faster! When you put on enough speed it'll come loose""",Ford Administration
"Wednesday, January 28, 1976","""Those darn congressmen leak stories. Now, here's some inside dope, but don't say where you got it ...""",Ford Administration
"Thursday, January 29, 1976","Here Comes the Ship of State. Here Comes the Ship of State, Puff-Puff Puff-Puff Puff-Puff Puffing Along ...",United Nations
"Friday, January 30, 1976","""And my opponents are resorting to the dirty tactic of reminding you of things I said before today""","Presidential Election, 1976"
"Sunday, February 1, 1976",Blackout,India
"Tuesday, February 3, 1976",Congressional Oversight,Congress
"Wednesday, February 4, 1976","""Those watchdogs need some seeing-eye people""",Ford Administration
"Thursday, February 5, 1976",Mother Bird,Ford Administration
"Friday, February 6, 1976","""An operation seems indicated in this particular month of my candidacy""","Presidential Election, 1976"
"Sunday, February 8, 1976","""He doesn't think there's anything wrong except our form of government""",Domestic Spying
"Tuesday, February 10, 1976",Winter Olympics,"Presidential Election, 1976"
"Wednesday, February 11, 1976","""My, there are a lot of important people here tonight""",Corruption
"Thursday, February 12, 1976","""Could I write in a FIRST name -- Like 'Betty'?""","Presidential Election, 1976"
"Friday, February 13, 1976","""If it please the court, brother ...""",Courts
"Sunday, February 15, 1976","""It's a wire from Ford -- He says there are leaks, and he wants to help us get to the very bottom ...""",Ford Administration
"Tuesday, February 17, 1976","""You might not recognize my face -- But with my credit card, you know my name and ...""",Domestic Spying
"Wednesday, February 18, 1976","""Don't worry. This time you can really trust me""",Ford Administration
"Thursday, February 19, 1976",Sack Race,"Presidential Election, 1976"
"Friday, February 20, 1976","""If I see any foxes around, I'll let you know""",Ford Administration
"Sunday, February 22, 1976","""By the time this bicentennial is over we may all be re-enacting the early days""",US Economy
"Tuesday, February 24, 1976","""It helps the balance of payments""",Ford Administration
"Wednesday, February 25, 1976","""The interesting thing is ... So many of them are in on it. They're all coming out of the woodwork"" -- Nixon, on Japanese involved in Lockheed bribes.",Nixon Administration
"Thursday, February 26, 1976","""That snowy picture is the best you're going to get on that old crystal ball""","Presidential Election, 1976"
"Friday, February 27, 1976","""Do you think the free trip is enough, or should we give him a little something extra?""",Nixon Administration
"Sunday, February 29, 1976","""And now, for those who want a President with no experience in Washington -- A man who never even HEARD of Washington!""","Presidential Election, 1976"
"Tuesday, March 2, 1976","""The trouble is people today don't seem to have faith in our institutions""",Corruption
"Wednesday, March 3, 1976","""Nobody here but just us sportsmen""",Gun Controls
"Thursday, March 4, 1976","""Now we turn on the lights again, and -- Hu-lo, what's this -- Another?""","Presidential Election, 1976"
"Friday, March 5, 1976","""Well, so much for the Eleventh Commandment""","Presidential Election, 1976"
"Sunday, March 7, 1976","""Sure it's cockeyed, but it's the only roulette wheel in town""","Presidential Election, 1976"
"Tuesday, March 9, 1976","""Shut up, comrade, or I'll make you Minister of Agriculture""",Soviet Union
"Wednesday, March 10, 1976","""Pssssssssst""",Ford Administration
"Thursday, March 11, 1976",""" 'Sunshine State'--Bah!""","Presidential Election, 1976"
