Date of Cartoon,Title,Major Subject
"Thursday, February 10, 1955","""Glad To Help -- Here's Some Swimming Lessons""",Eisenhower Administration
"Friday, February 11, 1955","""Atomic Energy? Sure. Just A Minute Now --""",Eisenhower Administration
"Sunday, February 13, 1955","""What's Good for General Motors --""",Labor
"Monday, February 14, 1955","""What Happened -- Was There A Dissenting Opinion?""",Soviet Union
"Tuesday, February 15, 1955","""Hello -- Ike?""",Eisenhower Administration
"Wednesday, February 16, 1955","""When Do We Sail, Cap'n?""",Eisenhower Administration
"Thursday, February 17, 1955","Anybody Care to Have a New Look at Civilian Defense?""",Congress
"Friday, February 18, 1955","""It Fell To Earth I Knew Not Where""",Cold War
"Sunday, February 20, 1955",Shape Of Things To Go,World Stability
"Monday, February 21, 1955","""Oh Dear -- They Seem To Be Going Right Ahead""",Eisenhower Administration
"Tuesday, February 22, 1955",[Untitled],Second Red Scare
"Wednesday, February 23, 1955","""I'm The B-B-B-Bold N-New P-Program""",Cold War
"Thursday, February 24, 1955","""How can you learn lessons in here? Why there's hardly room for you, and no room at all for any lesson books!"" -- Alice in Wonderland",Eisenhower Administration
"Friday, February 25, 1955","""How About A Good-Will Experiment?""",Congress
"Sunday, February 27, 1955","""Boss, Do You Want To See Government Get Ahead Of Private Enterprise?""",Congress
"Monday, February 28, 1955",Rugged Individualism,Eisenhower Administration
"Tuesday, March 1, 1955","""That's Not the Way We Plan to Celebrate It, William""",United Nations
"Wednesday, March 2, 1955","""Relax -- They're Bound To Turn Aside""","Taiwan Strait Crisis, 1954-1955"
"Thursday, March 3, 1955",Integration Problem,Senate
"Friday, March 4, 1955","""Don't Even Think About It""",Eisenhower Administration
"Sunday, March 6, 1955","""Remember Now -- Don't Make Any Sudden Moves""",US Economy
"Monday, March 7, 1955","""Let's Have A Look At Those Securities""",Second Red Scare
"Tuesday, March 8, 1955","""Isn't That One Of Your Kids In The Dead-End Gang?""",Congress
"Wednesday, March 9, 1955",A Cloud No Bigger Than A Man's Future,World Stability
"Thursday, March 10, 1955",Latest Master Stroke On The Security Front,Second Red Scare
"Friday, March 11, 1955","""I Don't Know, Fella -- I'm A Stranger Here Myself""",Eisenhower Administration
"Sunday, March 13, 1955","""I Had No Idea Elephants Were So Sensitive""","Presidential Election, 1956"
"Monday, March 14, 1955",The Recording Angels,Eisenhower Administration
"Tuesday, March 15, 1955","""He's Perfectly Healthy -- Just Terribly Sensitive""",Senate
"Wednesday, March 16, 1955","""Not Willing To Pay The Piper Now?""",Eisenhower Administration
"Thursday, March 17, 1955","""You Sure You Didn't Leave The Scissors Inside?""",Great Britain
"Friday, March 18, 1955","""First Things First""",Eisenhower Administration
"Sunday, March 20, 1955","""Maybe I Shouldn't Have Pulled the Trigger""",Eisenhower Administration
"Monday, March 21, 1955","""Fireman, Save My Child""",Eisenhower Administration
"Tuesday, March 22, 1955","""Run For Your Life!""",Eisenhower Administration
"Wednesday, March 23, 1955","""You Win It, Pal""",US Economy
"Thursday, March 24, 1955","""Well, I Certainly Hope He Goes To A Big 4 Conference""",Eisenhower Administration
"Friday, March 25, 1955","""Couldn't You Sometime Lock The Door First?""",Eisenhower Administration
"Sunday, March 27, 1955",[Untitled],Eisenhower Administration
"Monday, March 28, 1955","""Think You'd Better Give These Guys A Check-Up Too?""",Senate
"Tuesday, March 29, 1955","""I'm Not Sure I Know How To Come Down""",Eisenhower Administration
"Wednesday, March 30, 1955","""I'd Like to Talk to Dr. Jekyll, Please""",Senate
"Thursday, March 31, 1955",Tug Of War And Peace,Eisenhower Administration
"Friday, April 1, 1955","""What Do You Hear About Malenkov?""",Soviet Union
"Sunday, April 3, 1955","""On the Other Hand, He Doesn't Look Very Sleepy""",Great Britain
"Monday, April 4, 1955","""How About Trying To Fix It Right Now?""",Congress
"Tuesday, April 5, 1955","""Now, If You'll Look At These Columns Here --""",Eisenhower Administration
"Wednesday, April 6, 1955",[Untitled],Great Britain
"Thursday, April 7, 1955","""Sh -- We're Busy""",Eisenhower Administration
"Friday, April 8, 1955","""I'll Do All The Foolish Talking Around Here""",Eisenhower Administration
"Sunday, April 10, 1955","""But My Friend Mr. Dulles Was Right Behind Me""",Eisenhower Administration
"Monday, April 11, 1955","""We Saved Four Million Dollars On The U. N. Technical Assistance Program""",Congress
"Tuesday, April 12, 1955","""Oh -- Oh""",Eisenhower Administration
"Wednesday, April 13, 1955","""I'll Just Leave It Here If You Want To Use It""",Eisenhower Administration
"Thursday, April 14, 1955","""Now If You Could Just Control Your Inventions, Huh?""",World Stability
"Friday, April 15, 1955","Foster, You Haven't Been Doing Much Traveling Lately'",Eisenhower Administration
"Sunday, April 17, 1955","""He Gets Off A Nice Clear Decision, Doesn't He?""","Presidential Election, 1956"
"Monday, April 18, 1955","""There Must Be Something We Can Do About It""",Congress
"Tuesday, April 19, 1955",[Untitled],In Memoriam
"Wednesday, April 20, 1955","""See Anybody Coming Yet?""",United Nations
"Thursday, April 21, 1955","""Shoo!""",Eisenhower Administration
"Friday, April 22, 1955","""Look -- Why Not Take A Penalty Stroke And Get Back On The Fairway?""",Eisenhower Administration
"Saturday, April 23, 1955","""Really, Don't You Notice Anything?""",Eisenhower Administration
"Sunday, April 24, 1955",[Untitled],People's Republic of China
"Monday, April 25, 1955","""This'll Give You A Much More Interesting Trip""",Eisenhower Administration
"Tuesday, April 26, 1955",Latest Report From Behind The Iron Collar,Eisenhower Administration
"Wednesday, April 27, 1955","""What Do You Hear?""","Taiwan Strait Crisis, 1954-1955"
"Thursday, April 28, 1955","""Pass, Friend""",Eisenhower Administration
"Friday, April 29, 1955","""I Weep For You,"" The Walrus Said: ""I Deeply Sympathize."" With Sobs And Tears He Sorted Out Those Of The Largest Size, Holding His Pocket-Handkerchief Before His Streaming Eyes",Eisenhower Administration
"Sunday, May 1, 1955","""Oh, This Takes More Time""",Eisenhower Administration
"Monday, May 2, 1955","""We Interrupt This News To Bring You The Latest Chapter Of 'John's Other Amendment' --""",Eisenhower Administration
"Tuesday, May 3, 1955","""These Have Been Very Trying Days, Francois""",Vietnam
"Wednesday, May 4, 1955","""Don't Peek -- It's Sort Of A Surprise""",US Economy
"Thursday, May 5, 1955","""Mr. President, Meet Mr. Eisenhower""",Eisenhower Administration
"Friday, May 6, 1955","""I Kind Of Dread This Route""",Eisenhower Administration
"Sunday, May 8, 1955","""It's Just As I Almost Said --""",Eisenhower Administration
"Monday, May 9, 1955","""Poor Devils -- All of Them Behind Bars""",Cold War
"Tuesday, May 10, 1955","""I'm Asking You In A Nice Way""",Senate
"Wednesday, May 11, 1955","""Hey -- Don't Get Too Far Ahead""",Cold War
"Thursday, May 12, 1955","""Very Interesting -- You Must Come Again Some Time""",Congress
"Friday, May 13, 1955","""Rest Assured That If We Find One Polio Germ Crossing A State Line --""",Eisenhower Administration
"Sunday, May 15, 1955","""Yeah, It's Really Sad, Isn't It?""",Eisenhower Administration
"Monday, May 16, 1955",Little-Four Meeting,Senate
"Tuesday, May 17, 1955",The Knock At The Door,Congress
"Wednesday, May 18, 1955","""It Looks Wonderful -- And It'll Wear Like Iron""",Eisenhower Administration
"Thursday, May 19, 1955","""Hey -- Maybe A Parking Place""",Cold War
"Friday, May 20, 1955",Conclusion,Eisenhower Administration
"Sunday, May 22, 1955","""Well, Circumstances Alter Cases""",Soviet Union
"Monday, May 23, 1955","""Their Feet Are Killing Me""",Eisenhower Administration
"Tuesday, May 24, 1955","""I'm Beginning To Think That's A Great Idea""",Eisenhower Administration
"Wednesday, May 25, 1955","""You Want To Flunk Out Too?""",Eisenhower Administration
"Thursday, May 26, 1955","""I've Got a Little List, Too""",Eisenhower Administration
"Thursday, May 26, 1955","""See If You Can Find Somebody Named Davy Crockett""","Presidential Election, 1956"
"Friday, May 27, 1955","""Sure -- I'll Sit Here In The Middle""",Cold War
"Sunday, May 29, 1955","""Hey -- A Plain Handshake Is Enough""",Soviet Union
"Tuesday, May 31, 1955",Shouldn't the Bodyguard Stay More in the Background?',Eisenhower Administration
"Thursday, June 23, 1955","""You Know The Old Saying -- No News Is Good News""",Eisenhower Administration
"Friday, June 24, 1955","""Hey -- Watch That Shoving, Will You?""",Cold War
"Saturday, June 25, 1955",Traveling Papers,Eisenhower Administration
"Monday, June 27, 1955","""Mind If I Do A Little Ground-Breaking Too?""",Eisenhower Administration
"Tuesday, June 28, 1955","""There -- Feel More Comfortable Now?""",Eisenhower Administration
"Wednesday, June 29, 1955","""All Right, Leo -- That's Enough""",Second Red Scare
"Thursday, June 30, 1955","""Molotov To Kremlin -- Am I Still Defrosting?""",Soviet Union
"Friday, July 1, 1955","""Thanks For Your Cooperation""",Eisenhower Administration
"Sunday, July 3, 1955","""This Is The Only Guy Who's Entitled To Bargain Rates""",Eisenhower Administration
"Monday, July 4, 1955","""Yes, We'll Be There, Rain and Shine""",Cold War
"Tuesday, July 5, 1955","""Sorry -- He's Tied Up Right Now""",Eisenhower Administration
"Wednesday, July 6, 1955","""Seat!""",Congress
"Thursday, July 7, 1955","""Excuse Me -- I'm In A Hurry""",Congress
"Friday, July 8, 1955","""Maybe We Could Speak To Him Some Other Time""",Congress
"Sunday, July 10, 1955","""Wait A Minute, Fellows -- Maybe We'll Just Bury It""",Eisenhower Administration
"Monday, July 11, 1955","""It's Really More Of A 2-Power Conference, Ain't It?""",World Stability
"Tuesday, July 12, 1955","""We Got Here Early""",Cold War
"Wednesday, July 13, 1955","""The Old System Works All Right For Us -- Eh, Boy?""",Congress
"Thursday, July 14, 1955",Capital Transient,Senate
"Friday, July 15, 1955","Long, Long Trail",Eisenhower Administration
"Saturday, July 16, 1955","""I've Stopped -- Now Let's Forget The Whole Thing""",Eisenhower Administration
"Sunday, July 17, 1955","""Pretty Good -- How Have Things Been Going With You?""",Cold War
"Monday, July 18, 1955","""Why, Yes -- I Agree With You Completely""",Eisenhower Administration
"Tuesday, July 19, 1955",1-Point Program,Cold War
"Wednesday, July 20, 1955","""You Sure We Don't Have Too Much Air In The Tires?""",US Economy
"Thursday, July 21, 1955",The Other Summit,Cold War
"Friday, July 22, 1955","""Take A Letter""",Eisenhower Administration
"Sunday, July 24, 1955","""I Have An Even Better Idea""",Eisenhower Administration
"Monday, July 25, 1955","""This Sure Beats Cleaning Up After A War""",Cold War
"Tuesday, July 26, 1955","""I Think I'll Try for Double""",World Stability
"Wednesday, July 27, 1955","""But First A Few Words From Our Sponsors""",Eisenhower Administration
"Thursday, July 28, 1955","""Stand Back, Please -- Let's Keep The Aisles Clear""",Congress
"Friday, July 29, 1955","""What's The Matter? I Didn't Get A Mink Coat""",Eisenhower Administration
"Sunday, July 31, 1955",Big League Ball,Cold War
"Monday, August 1, 1955","""You Sure That Cloud Will Hold Both Of Us?""",Republican Party
"Tuesday, August 2, 1955",Released Flyer,World Stability
"Wednesday, August 3, 1955",Back To The New Frontier,Eisenhower Administration
"Thursday, August 4, 1955","""Do You Think Atomic Bombs Affect The Climate?""",Cold War
"Friday, August 5, 1955","""Wait'll You Come Back -- I'll Tear You Apart""",Congress
"Sunday, August 7, 1955","""You'll Both Have To Go Some To Tie Up This Baby""",World Stability
"Monday, August 8, 1955","""Not Yet, But Save It""",Cold War
"Tuesday, August 9, 1955","""My Mother Is More Patriotic Than Your Mother""",Eisenhower Administration
"Wednesday, August 10, 1955",Hell's Canyon,Eisenhower Administration
"Thursday, August 11, 1955",The Other Door,World Stability
"Friday, August 12, 1955","""November -- And You?""","Presidential Election, 1956"
"Sunday, August 14, 1955","""But It's Such An Old Routine""",Congress
"Monday, August 15, 1955","""Where Seldom Is Heard A Discouraging Word""","Presidential Election, 1956"
"Tuesday, August 16, 1955","""This One Is In Your Department""",Cold War
"Wednesday, August 17, 1955","""Well, We Didn't Have So Many Of Them Under The Democrats""",Weather
"Thursday, August 18, 1955","""Careful You Don't Get Yourself Down""",US Economy
"Friday, August 19, 1955","""And If I May Say So, I've Never Been Good To My Mother""",Eisenhower Administration
"Sunday, August 21, 1955","The Summit Was So Nice, Let's Go A Little Higher""",Cold War
"Monday, August 22, 1955","""I Hear It May Be A Warm Autumn""","Truman, Harry S."
"Tuesday, August 23, 1955",Bicycle Built For Two,Eisenhower Administration
"Wednesday, August 24, 1955","""It's Not Like The Good Old Days""",Congress
"Thursday, August 25, 1955",Harness Race,World Stability
"Friday, August 26, 1955","""Absolutely Fair And Impartial""",Eisenhower Administration
"Sunday, August 28, 1955","""Why, No -- I Didn't Call Him""",Eisenhower Administration
"Monday, August 29, 1955","""Welcome, Friend -- Put 'Er There""",Congress
"Tuesday, August 30, 1955","""There -- That Ought To Bring 'Em In""",Eisenhower Administration
"Wednesday, August 31, 1955",Old Man of the Mediterranean,France
"Thursday, September 1, 1955","""Any Old Arms Today?""",World Stability
"Friday, September 2, 1955","""Er -- How Do You Do""",Senate
"Sunday, September 4, 1955","""Well, All Right, -- Since You Beg Me, I'll Stay""",Argentina
"Monday, September 5, 1955","""Think of Andrew Jackson -- Harrison -- Nashua --""","Presidential Election, 1956"
"Tuesday, September 6, 1955",Into Each Life --,"Presidential Election, 1956"
"Wednesday, September 7, 1955","""So Nice Of You To Invite Me""",Soviet Union
"Thursday, September 8, 1955","""Confidentially, He Hates It""","Presidential Election, 1956"
"Friday, September 9, 1955","""How About Holding It Here To Simulate School Conditions?""",Eisenhower Administration
"Sunday, September 11, 1955","""Do We Have To Get There By Election Time?""","Presidential Election, 1956"
"Monday, September 12, 1955",Non-Mushroom-Shaped Clouds,World Stability
"Tuesday, September 13, 1955","""Sure, Sure -- As Long As You Run Again""","Presidential Election, 1956"
"Wednesday, September 14, 1955",Faces At The Windows,United Nations
"Thursday, September 15, 1955","""I'll Help You Paste 'Em Up On The Barns""","Presidential Election, 1956"
"Friday, September 16, 1955",Sour Note In The Horn Of Plenty,US Economy
"Sunday, September 18, 1955","""Couldn't We Call It The Benson Plan Or Something?""",Eisenhower Administration
"Monday, September 19, 1955","""We're Always Willing To Bargain""",Soviet Union
"Tuesday, September 20, 1955","""Sorry -- It Doesn't Fit In With The Official Line""",Eisenhower Administration
"Wednesday, September 21, 1955",Strong-Man,Argentina
"Thursday, September 22, 1955","""Somebody's Changed The Course Of This Stream Too""",Eisenhower Administration
